,literal,media,varianta,deviatia standard,skewness,numarul de synset-uri cu zero propozitii,numar de propozitii
3948,milă,2.577777777777778,8.510617283950618,2.91729622835094,0.6860467588674808,0,133
3949,șoc,2.08,3.1536,1.7758378304338491,-0.035243938355894344,0,56
3950,sondaj,0.15,0.1275,0.3570714214271425,1.9603921176392138,0,20
3951,mobilitate,1.0,0.0,0.0,0.0,1,20
3952,programare,1.05,0.0475,0.21794494717703367,4.129483209670112,2,40
3953,ruină,2.5,0.8500000000000002,0.9219544457292889,-1.4547101289015762,0,52
3954,profit,2.1,2.8899999999999997,1.7,-0.05861998778750277,0,51
3955,pantă,3.14,1.5204000000000002,1.2330450113438682,-1.0995296374910495,0,51
3956,mândrie,1.6842105263157894,0.9529085872576177,0.9761703679469161,-0.5233337641370359,0,39
3957,pisică,0.975,0.024375,0.15612494995995996,-6.08486984459331,2,50
3958,manieră,2.92,1.1536,1.0740577265678042,-1.0997479544877717,0,50
3959,predare,3.515151515151515,1.0982552800734617,1.0479767555024595,0.2758600908752008,3,216
3960,răscumpărare,1.2,0.36,0.6,-0.11111111111111094,0,49
3961,scădere,7.642857142857142,1.5510204081632653,1.2453996981544782,-3.7938495003315174,4,378
3962,revendicare,0.45454545454545453,0.2479338842975206,0.49792959773196915,0.18257418583505525,0,11
3963,proiectare,0.3125,0.21484375,0.46351240544347894,0.8090398349558906,0,16
3964,rezident,0.45454545454545453,0.2479338842975206,0.49792959773196915,0.18257418583505525,0,12
3965,sulf,0.45454545454545453,0.2479338842975206,0.49792959773196915,0.18257418583505525,0,11
3966,voință,1.05,0.9974999999999999,0.998749217771909,0.20100329104347303,0,40
3967,prânz,1.25,1.0875,1.0428326807307104,-0.24799825938899184,1,156
3968,viteză,1.125,1.359375,1.165922381636102,0.22921026606876982,1,50
3969,străin,2.175,2.494375,1.5793590472087087,0.7386936445298923,1,43
3970,obligație,5.044444444444445,6.998024691358026,2.645377986480954,-0.6998209658969902,1,99
3971,suveran,0.95,0.0475,0.21794494717703367,-4.129483209670112,1,20
3972,tuberculoză,1.0,0.0,0.0,0.0,1,20
3973,succesiune,2.3857142857142857,2.0369387755102037,1.4272136404582896,0.2751397757724471,1,74
3974,unificare,1.0,0.9090909090909091,0.9534625892455924,0.0,0,16
3975,ticălos,0.9866666666666667,0.06648888888888889,0.25785439474418287,-0.6224408503629892,1,75
3976,tulburare,1.5333333333333332,2.048888888888889,1.4313940369055926,2.240230238965416,2,90
3977,rudă,2.8200000000000003,0.18760000000000002,0.4331281565541543,-2.3735693141528635,2,50
